maand,min,max,2017-2019,2020,2021,2022
jan,170,171,170.6666666666667,182,177,154.0
feb,154,162,159.0,175,180,188.0
mrt,147,179,166.6666666666667,171,224,195.0
apr,159,184,168.0,117,197,170.0
mei,149,196,175.6666666666667,138,152,165.0
jun,168,173,170.3333333333333,193,175,184.0
jul,177,181,179.6666666666667,191,189,204.0
aug,162,175,169.0,181,171,206.0
sep,146,181,169.0,185,187,206.0
okt,144,179,161.3333333333333,167,188,
nov,161,187,173.6666666666667,177,194,
dec,153,162,157.6666666666667,176,170,
