maand,Stadium,min,max,2017-2019,2020,2021
jan,I,305,365,338.0,410,315
feb,I,329,366,341.6666666666667,380,320
mrt,I,345,391,368.3333333333333,299,421
apr,I,277,394,337.0,164,374
mei,I,393,509,449.0,225,315
jun,I,443,582,517.0,469,690
jul,I,471,526,501.0,471,569
aug,I,431,517,478.3333333333333,448,398
sep,I,370,512,417.6666666666667,529,474
okt,I,380,414,397.6666666666667,404,410
nov,I,335,389,371.0,373,422
dec,I,275,345,307.0,336,363
,II,79,104,89.66666666666667,90,81
,III,51,63,56.0,66,64
,IV,11,24,18.33333333333333,25,34
,II,67,81,74.66666666666667,71,62
,III,37,52,42.66666666666666,45,56
,IV,20,27,22.66666666666667,29,19
,II,75,81,77.0,71,77
,III,54,67,62.0,47,73
,IV,16,27,22.0,20,23
,II,75,88,82.0,62,83
,III,38,57,50.33333333333334,38,81
,IV,20,24,21.33333333333333,14,21
,II,91,94,92.0,80,92
,III,47,66,55.0,48,52
,IV,16,21,18.33333333333333,14,16
,II,90,106,99.33333333333333,96,137
,III,50,63,55.33333333333334,98,86
,IV,16,22,18.66666666666667,21,21
,II,84,130,110.0,98,105
,III,47,81,64.33333333333333,77,71
,IV,22,24,22.66666666666667,17,25
,II,77,85,80.66666666666667,95,104
,III,41,64,50.66666666666666,87,50
,IV,14,21,18.33333333333333,21,25
,II,75,96,86.33333333333333,110,105
,III,47,69,54.66666666666666,82,68
,IV,12,19,15.0,22,24
,II,71,94,85.0,97,85
,III,53,56,54.66666666666666,57,56
,IV,17,27,21.33333333333333,18,19
,II,85,99,90.0,56,87
,III,45,72,55.0,74,62
,IV,8,24,18.66666666666667,27,18
,II,62,72,67.66666666666667,81,75
,III,40,56,47.0,63,62
,IV,11,24,18.33333333333333,13,29
