maand,Stadium,2020,2021
jan,IV,77,62
jan,III,99,113
jan,II,86,91
jan,I,119,97
feb,I,100,112
feb,II,77,89
feb,III,84,104
feb,IV,66,80
mrt,IV,78,87
mrt,III,93,148
mrt,II,68,119
mrt,I,83,110
apr,I,46,83
apr,II,46,89
apr,III,68,125
apr,IV,54,64
mei,I,49,96
mei,II,60,88
mei,III,83,100
mei,IV,85,74
jun,IV,74,101
jun,III,89,104
jun,II,77,96
jun,I,59,114
jul,IV,78,83
jul,III,101,119
jul,II,92,85
jul,I,92,96
aug,I,74,108
aug,IV,65,70
aug,III,103,93
aug,II,76,94
sep,II,82,92
sep,I,99,116
sep,III,116,102
sep,IV,68,74
okt,I,105,87
okt,II,81,75
okt,III,103,100
okt,IV,75,62
nov,II,91,106
nov,III,104,125
nov,IV,75,74
nov,I,98,110
dec,II,85,90
dec,III,103,99
dec,IV,73,63
dec,I,117,107
