maand,screeningsleeftijd,2020,2021,2022
jan,0-54;76+,434.0,409.0,397.0
jan,55-75,604.0,639.0,514.0
feb,0-54;76+,379.0,398.0,357.0
feb,55-75,526.0,579.0,568.0
mrt,55-75,523.0,703.0,642.0
mrt,0-54;76+,384.0,492.0,441.0
apr,0-54;76+,280.0,389.0,401.0
apr,55-75,385.0,589.0,522.0
mei,55-75,397.0,540.0,524.0
mei,0-54;76+,335.0,391.0,409.0
jun,55-75,385.0,678.0,553.0
jun,0-54;76+,446.0,455.0,424.0
jul,55-75,503.0,595.0,492.0
jul,0-54;76+,465.0,442.0,389.0
aug,55-75,451.0,531.0,535.0
aug,0-54;76+,396.0,426.0,421.0
sep,0-54;76+,466.0,431.0,411.0
sep,55-75,544.0,618.0,546.0
okt,0-54;76+,416.0,435.0,
okt,55-75,573.0,529.0,
nov,0-54;76+,410.0,456.0,
nov,55-75,572.0,626.0,
dec,55-75,630.0,541.0,
dec,0-54;76+,397.0,403.0,
