maand,Stadium,min,max,2017-2019,2020,2021,2022
jan,IV,93,116,107.0,117,107,110.0
feb,IV,189,222,200.6666666666667,222,217,213.0
mrt,IV,302,328,315.3333333333333,317,368,328.0
apr,IV,416,419,417.6666666666667,394,485,437.0
mei,IV,521,539,532.6666666666666,505,603,556.0
jun,IV,628,657,646.6666666666666,640,746,673.0
jul,IV,754,789,767.3333333333334,772,880,786.0
aug,IV,852,922,883.0,868,994,914.0
sep,IV,966,1032,992.0,989,1135,
okt,IV,1071,1156,1109.333333333333,1106,1243,
nov,IV,1180,1262,1220.666666666667,1220,1349,
dec,IV,1269,1372,1323.666666666667,1330,1463,
