maand,cstadium,min,max,2018-2019,2020,2021
jan,I,507,672,589.5,773,682.0
jan,II,94,176,135.0,126,65.0
jan,III,91,145,118.0,63,53.0
jan,IV,255,277,266.0,292,314.0
feb,I,508,633,570.5,588,625.0
feb,II,91,163,127.0,90,53.0
feb,III,90,147,118.5,67,75.0
feb,IV,217,265,241.0,254,271.0
mrt,IV,234,247,240.5,247,330.0
mrt,III,59,158,108.5,66,60.0
mrt,I,533,625,579.0,601,731.0
mrt,II,87,151,119.0,95,73.0
apr,I,462,596,529.0,460,655.0
apr,II,111,138,124.5,83,68.0
apr,III,80,122,101.0,40,52.0
apr,IV,238,283,260.5,190,289.0
mei,IV,248,290,269.0,193,228.0
mei,I,465,651,558.0,466,538.0
mei,II,105,145,125.0,57,45.0
mei,III,65,122,93.5,34,51.0
jun,III,49,141,95.0,50,40.0
jun,IV,234,263,248.5,235,306.0
jun,I,431,529,480.0,479,664.0
jun,II,98,156,127.0,84,76.0
jul,I,448,621,534.5,529,595.0
jul,II,102,137,119.5,57,62.0
jul,III,77,148,112.5,42,55.0
jul,IV,253,284,268.5,252,306.0
aug,I,365,558,461.5,514,530.0
aug,II,88,127,107.5,57,48.0
aug,III,62,133,97.5,36,45.0
aug,IV,245,247,246.0,245,274.0
sep,IV,238,267,252.5,330,286.0
sep,III,67,122,94.5,68,64.0
sep,I,360,585,472.5,577,615.0
sep,II,87,147,117.0,69,71.0
okt,I,470,635,552.5,646,
okt,II,114,168,141.0,71,
okt,III,83,159,121.0,57,
okt,IV,283,296,289.5,310,
nov,I,502,623,562.5,676,
nov,II,110,156,133.0,74,
nov,III,80,165,122.5,50,
nov,IV,286,310,298.0,306,
dec,III,100,103,101.5,54,
dec,I,369,580,474.5,635,
dec,II,103,130,116.5,72,
dec,IV,230,266,248.0,300,
